time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-02T00:00:00.0000000Z,2021-08-02T00:15:00.0000000Z,2021-08-02T00:00:02.1450000Z,2021-08-02T00:14:58.0370000Z,6.3e-06,6.33e-06,6.28e-06,6.3e-06,88293656749,1420
2021-08-02T00:15:00.0000000Z,2021-08-02T00:30:00.0000000Z,2021-08-02T00:15:00.5120000Z,2021-08-02T00:29:58.5030000Z,6.29e-06,6.31e-06,6.29e-06,6.3e-06,35486472021,885
2021-08-02T00:30:00.0000000Z,2021-08-02T00:45:00.0000000Z,2021-08-02T00:30:00.6110000Z,2021-08-02T00:44:57.3990000Z,6.29e-06,6.3e-06,6.22e-06,6.22e-06,122984498913,1965
2021-08-02T00:45:00.0000000Z,2021-08-02T01:00:00.0000000Z,2021-08-02T00:45:01.3190000Z,2021-08-02T00:59:59.6760000Z,6.23e-06,6.24e-06,6.21e-06,6.22e-06,100941114290,1365
2021-08-02T01:00:00.0000000Z,2021-08-02T01:15:00.0000000Z,2021-08-02T01:00:00.7100000Z,2021-08-02T01:14:59.9720000Z,6.22e-06,6.25e-06,6.21e-06,6.24e-06,92707293047,1586
2021-08-02T01:15:00.0000000Z,2021-08-02T01:30:00.0000000Z,2021-08-02T01:15:01.8530000Z,2021-08-02T01:29:58.4220000Z,6.24e-06,6.26e-06,6.23e-06,6.25e-06,58747259528,987
2021-08-02T01:30:00.0000000Z,2021-08-02T01:45:00.0000000Z,2021-08-02T01:30:05.2680000Z,2021-08-02T01:44:53.5220000Z,6.24e-06,6.29e-06,6.24e-06,6.29e-06,60025345678,872
2021-08-02T01:45:00.0000000Z,2021-08-02T02:00:00.0000000Z,2021-08-02T01:45:00.4890000Z,2021-08-02T01:59:57.8950000Z,6.28e-06,6.29e-06,6.26e-06,6.27e-06,39847017862,730
2021-08-02T02:00:00.0000000Z,2021-08-02T02:15:00.0000000Z,2021-08-02T02:00:02.7810000Z,2021-08-02T02:14:57.3920000Z,6.27e-06,6.29e-06,6.26e-06,6.27e-06,35293739818,667
2021-08-02T02:15:00.0000000Z,2021-08-02T02:30:00.0000000Z,2021-08-02T02:15:01.2650000Z,2021-08-02T02:29:58.3970000Z,6.27e-06,6.29e-06,6.26e-06,6.26e-06,53770414017,836
