User,Date,ID,Likes,Replies,Retweets,Source of Tweet,User Tweet Count,User Follower Count,Automated User,Verified User,Language,Tweet,Conversation,rootId
AdrienBe_,2021-12-21 13:08:39+00:00,1473279247238189058,1,0,0,Twitter Web App,1546,1139,,0,en,"@CaleCrypto Happy bleeding. Unlike NFTs, doge is a meme w/o utility. No utility means nothing for people to hold onto when the market plummets. Remember 2018-19, same thing with all fungibles.","['Cale 🥬: I have 420.69 doge, what floor needs sweeping?', 'Adrien Be. 🔮: @CaleCrypto Happy bleeding. Unlike NFTs, doge is a meme w/o utility. No utility means nothing for people to hold onto when the market plummets. Remember 2018-19, same thing with all fungibles.']",1473056329585631240
DogeMinnow,2021-12-20 23:21:07+00:00,1473070992708841477,2,0,0,Twitter for iPhone,7002,698,,0,en,@CaleCrypto After looking at my doge it looks like the doge floor needs to be swept,"['Cale 🥬: I have 420.69 doge, what floor needs sweeping?', 'Doge Minnow: @CaleCrypto After looking at my doge it looks like the doge floor needs to be swept']",1473056329585631240
dogeallin,2021-12-21 00:10:54+00:00,1473083521510133766,1,1,0,Twitter for Android,1160,30,,0,en,@matt_hack78 Not doge it can't it can't get out of bitcoins shadows it goes up little when Bitcoin goes up but goes down a lot when Bitcoin goes down can't break away a lot of people have left it tired of getting lower lows,"['Matt Hack: Which coin will surpass Bitcoin?#dogecoin #doge #DogecoinToTheMoon #AcceptDoge https://t.co/QvWI5g43r3', ""range: @matt_hack78 Not doge it can't it can't get out of bitcoins shadows it goes up little when Bitcoin goes up but goes down a lot when Bitcoin goes down can't break away a lot of people have left it tired of getting lower lows""]",1473014319541469185
iJaceSummers,2021-12-20 20:02:26+00:00,1473020992490336258,0,0,0,Twitter for iPhone,79664,2749,,0,en,@matt_hack78 It has to be doge for a viable future for all of us 💯👍 #DOGE,"['Matt Hack: Which coin will surpass Bitcoin?#dogecoin #doge #DogecoinToTheMoon #AcceptDoge https://t.co/QvWI5g43r3', 'Jace Summers: @matt_hack78 It has to be doge for a viable future for all of us 💯👍 #DOGE']",1473014319541469185
ianhays75,2021-12-24 19:28:53+00:00,1474462101825630213,1,0,0,Twitter for iPhone,26,8,,0,en,@nylo44 Doge will out pace our expectations!,"['Max DeGilio: Do you believe $DOGE Can Go $10.00 🤞   YES          YES           YES  ⬇️             ⬇️             ⬇️', 'Ian Hays: @nylo44 Doge will out pace our expectations!']",1473008845454782466
WallbangerTommy,2021-12-21 23:55:21+00:00,1473441996010307588,1,0,0,Twitter for Android,506,3,,0,en,@nylo44 @DogecoinRide Do you even understand that with current circulation and market cap it would take more than 830 billion in new investment to get to $10 doge. Stop acting like that dip shit Matt Wallace https://t.co/1zQWUDSgIS,"['Max DeGilio: Do you believe $DOGE Can Go $10.00 🤞   YES          YES           YES  ⬇️             ⬇️             ⬇️', 'Tommy Wallbanger: @nylo44 @DogecoinRide Do you even understand that with current circulation and market cap it would take more than 830 billion in new investment to get to $10 doge. Stop acting like that dip shit Matt Wallace https://t.co/1zQWUDSgIS']",1473008845454782466
2001huey,2021-12-21 22:53:23+00:00,1473426400996696066,1,0,0,Twitter Web App,25685,329,,0,en,"@nylo44 dude if $doge reach at least 1$, i will sell it, i can't live with this headache forever...","['Max DeGilio: Do you believe $DOGE Can Go $10.00 🤞   YES          YES           YES  ⬇️             ⬇️             ⬇️', ""mundinho luis suarez br: @nylo44 dude if $doge reach at least 1$, i will sell it, i can't live with this headache forever...""]",1473008845454782466
Linda420494292,2021-12-21 19:10:23+00:00,1473370280823197697,1,0,0,Twitter Web App,15,2,,0,en,@nylo44 I also always believe that DOGE will definitely reach $10.,"['Max DeGilio: Do you believe $DOGE Can Go $10.00 🤞   YES          YES           YES  ⬇️             ⬇️             ⬇️', 'Linda: @nylo44 I also always believe that DOGE will definitely reach $10.']",1473008845454782466
Rzx05504420,2021-12-21 18:23:39+00:00,1473358521508917250,1,0,0,Twitter Web App,4,1,,0,en,@nylo44 Only when Tesla will accept doge as a payment ...otherwise doge will fall to more dipp,"['Max DeGilio: Do you believe $DOGE Can Go $10.00 🤞   YES          YES           YES  ⬇️             ⬇️             ⬇️', 'Rzx: @nylo44 Only when Tesla will accept doge as a payment ...otherwise doge will fall to more dipp']",1473008845454782466
AnthonyTuanNguy,2021-12-21 18:06:34+00:00,1473354221001089031,1,2,0,Twitter Web App,16316,839,,0,en,@nylo44 At least 5 more years ! Doge reach to $10 is more difficult than SHIB reach to 1 cent !,"['Max DeGilio: Do you believe $DOGE Can Go $10.00 🤞   YES          YES           YES  ⬇️             ⬇️             ⬇️', 'Anthony Tuan  Nguyen: @nylo44 At least 5 more years ! Doge reach to $10 is more difficult than SHIB reach to 1 cent !']",1473008845454782466
MyLittleBonBon,2021-12-21 17:45:36+00:00,1473348944038182921,1,1,0,Twitter Web App,569,79,,0,en,"@nylo44 Are you joking? I do not argue, there is growth, but even to the mark of $ 1 doge is still very far https://t.co/QqgfRXrhE8","['Max DeGilio: Do you believe $DOGE Can Go $10.00 🤞   YES          YES           YES  ⬇️             ⬇️             ⬇️', 'Bon Bon: @nylo44 Are you joking? I do not argue, there is growth, but even to the mark of $ 1 doge is still very far https://t.co/QqgfRXrhE8']",1473008845454782466
