User,Date,ID,Likes,Replies,Retweets,Source of Tweet,User Tweet Count,User Follower Count,Automated User,Verified User,Language,Tweet,Conversation,rootId
Davidkuenstle,2022-05-04 23:43:04+00:00,1521998877980770304,1,1,0,Twitter Web App,150829,4526,,0,en,@kelferrell Hi Luna and Toby!,"['Kelly Ferrell Holzer: Toby and Luna are here from VA!  #PugChat https://t.co/D1QkOM5bsd', 'David K: @kelferrell Hi Luna and Toby!']",1521988673092399106
puggydo11,2022-05-04 23:05:16+00:00,1521989364057661441,0,1,0,Twitter for Android,2948,182,,0,en,@kelferrell Hi Toby and Luna!,"['Kelly Ferrell Holzer: Toby and Luna are here from VA!  #PugChat https://t.co/D1QkOM5bsd', 'Junebugpug🌱: @kelferrell Hi Toby and Luna!']",1521988673092399106
Redd_Spark,2022-05-05 04:28:53+00:00,1522070805257072641,0,1,0,Twitter for iPhone,8704,1356,,0,en,@MeshnetCapital I have a good opinion of Avax despite it being https://t.co/sEk4viQPW4’s pretty good tech.  Sol..ah no!Dot..a more complex &amp; limited version of Avax.  Luna-haven’t yet researched fully.could be elaborate Ponzi scheme for all I know.,"[""Meshnet Capital: Cardano is going to easily surge above $1 and then $2 and eventually $3 again. Way too much value is being added to Cardano and you'll never have to restart it and couldn't easily coordinate that in the first place because it's actually decentralized unlike $AVAX $SOL $DOT $LUNA"", 'ReddSpark: @MeshnetCapital I have a good opinion of Avax despite it being https://t.co/sEk4viQPW4’s pretty good tech.  Sol..ah no!Dot..a more complex &amp; limited version of Avax.  Luna-haven’t yet researched fully.could be elaborate Ponzi scheme for all I know.']",1521975821568647169
Darell89034368,2022-05-07 16:06:47+00:00,1522971213076783104,0,0,0,Twitter for Android,79,16,,0,en,@Sethisto Luna is the BEST princess EVER!!!! Praise the moon,"['Sethisto: Luna is the perfect mare. Please praise the moon before you go to bed tonight.   https://t.co/vJAscZJZ5l https://t.co/34trxoVTlW', 'Darell: @Sethisto Luna is the BEST princess EVER!!!! Praise the moon']",1521973069706711040
AccurateBalanc1,2022-05-05 03:01:39+00:00,1522048851074781191,0,0,0,Twitter for iPhone,337,14,,0,en,"@Sethisto I’ve been meaning to ask this ever since I discovered Derpibooru: Would anyone give me a history lecture about how the alternative white-maned Luna came to be, like, pretty please?","['Sethisto: Luna is the perfect mare. Please praise the moon before you go to bed tonight.   https://t.co/vJAscZJZ5l https://t.co/34trxoVTlW', 'Accurate Balance (Parody): @Sethisto I’ve been meaning to ask this ever since I discovered Derpibooru: Would anyone give me a history lecture about how the alternative white-maned Luna came to be, like, pretty please?']",1521973069706711040
pluralSirens,2022-05-04 22:24:31+00:00,1521979110611988482,0,0,0,Twitter for iPhone,8559,63,,0,tl,@Sethisto Luna is perfect,"['Sethisto: Luna is the perfect mare. Please praise the moon before you go to bed tonight.   https://t.co/vJAscZJZ5l https://t.co/34trxoVTlW', 'experiments in headspace: @Sethisto Luna is perfect']",1521973069706711040
bhramarbar848,2022-05-12 09:27:10+00:00,1524682586827620352,0,0,0,Twitter Web App,2433,17,,0,en,@loop_finance CHANGE YOUR BLOCKCHAIN LUNA TO OTHER IF YOU WANT TO SURVIBE,"['Loop: Re-Imagining Money: ⭐ Biggest Update in Loop History ⭐  INTRODUCING: Loop Power! 🚀♾️  This is going to change $LOOP in a major way. . . forever.  Here’s what you NEED to know 👇🧵  💥READ: https://t.co/nFAvuRT62O  🔁 Please share! RT and let $LUNA-tics know! 🔁 https://t.co/tdO0x33nBc', 'manoj Textile | RBC: @loop_finance CHANGE YOUR BLOCKCHAIN LUNA TO OTHER IF YOU WANT TO SURVIBE']",1521959654565322752
Hangover_74,2022-05-11 10:23:49+00:00,1524334453484662784,0,0,0,Twitter Web App,6251,104,,0,en,@loop_finance Turkish community defeated Loop and Luna :) #delistluna #delistloop,"['Loop: Re-Imagining Money: ⭐ Biggest Update in Loop History ⭐  INTRODUCING: Loop Power! 🚀♾️  This is going to change $LOOP in a major way. . . forever.  Here’s what you NEED to know 👇🧵  💥READ: https://t.co/nFAvuRT62O  🔁 Please share! RT and let $LUNA-tics know! 🔁 https://t.co/tdO0x33nBc', 'CryptoTurk: @loop_finance Turkish community defeated Loop and Luna :) #delistluna #delistloop']",1521959654565322752
7mc77,2022-05-11 10:23:41+00:00,1524334419456278528,0,0,0,Twitter Web App,174,31,,0,en,"@loop_finance @loop__community You have made a huge mistake by contradicting the Turkish community. Luna will continue to fall. Turks, that is, we will not remain silent in the face of injustice done to us.","['Loop: Re-Imagining Money: ⭐ Biggest Update in Loop History ⭐  INTRODUCING: Loop Power! 🚀♾️  This is going to change $LOOP in a major way. . . forever.  Here’s what you NEED to know 👇🧵  💥READ: https://t.co/nFAvuRT62O  🔁 Please share! RT and let $LUNA-tics know! 🔁 https://t.co/tdO0x33nBc', 'mc77: @loop_finance @loop__community You have made a huge mistake by contradicting the Turkish community. Luna will continue to fall. Turks, that is, we will not remain silent in the face of injustice done to us.']",1521959654565322752
thelunaticnick,2022-05-05 16:32:50+00:00,1522252991935705088,0,0,0,Twitter for iPhone,63,15,,0,en,@TheDegen_ Do you see the value in owning a GP? I could buy one or trade up to one but I’m still not sure if that will be the be the best financial move longer term rather than stake/use the Luna elsewhere,"['Show Me Real: I now own   1 galactic punk 1 luna bull (bonded) 1 hell cat 1 hero  When the $luna NFT market grows, at least one of those will be over 100k  See you in 2 years 🤝', 'thelunaticnick: @TheDegen_ Do you see the value in owning a GP? I could buy one or trade up to one but I’m still not sure if that will be the be the best financial move longer term rather than stake/use the Luna elsewhere']",1521924820392288256
PvtEquity420,2022-05-05 02:37:55+00:00,1522042880629612549,0,1,0,Twitter for iPhone,3717,594,,0,en,@TheDegen_ When you say bonded luna bull you mean tesseract? I have two bulls and two tesseracts figuring out what to do is why I asked,"['Show Me Real: I now own   1 galactic punk 1 luna bull (bonded) 1 hell cat 1 hero  When the $luna NFT market grows, at least one of those will be over 100k  See you in 2 years 🤝', 'DecentralizedMoney: @TheDegen_ When you say bonded luna bull you mean tesseract? I have two bulls and two tesseracts figuring out what to do is why I asked']",1521924820392288256
NotSmartMoney1,2022-05-05 02:09:24+00:00,1522035705894952960,0,0,0,Twitter for iPhone,1257,1165,,0,en,@TheDegen_ Bonded Luna Bull?  How?  @LunaBulls @BullClubDAO,"['Show Me Real: I now own   1 galactic punk 1 luna bull (bonded) 1 hell cat 1 hero  When the $luna NFT market grows, at least one of those will be over 100k  See you in 2 years 🤝', 'NotSmartMoney 🌑: @TheDegen_ Bonded Luna Bull?  How?  @LunaBulls @BullClubDAO']",1521924820392288256
Glumos3,2022-05-05 05:53:20+00:00,1522092057598197760,1,0,0,Twitter Web App,1203,359,,0,en,@Luna_Pomp This looks interesting,"['Luna Pomp: 🚀NEW ICO 🚀  Have you ever lost money in crypto? This new coin keeps your money safe like no other, with its anti-dump feature.  ✅ Anti-Dump Technology ✅ Super-high APY 164,620% ✅ Fair Launch on PinkSale  👇👇👇 https://t.co/eVNpZFl36d  #ico #pinksale #presale #100xgems #bsc https://t.co/It2h2Jlise', 'Glumos: @Luna_Pomp This looks interesting']",1521901229001129984
KINGSMA67612571,2022-05-04 18:31:09+00:00,1521920379622944768,0,0,0,Twitter for Android,5669,10,,0,en,@Luna_Pomp @CRYPTOPER5 Visiting webside  to learn more about this🔥🔥🔥🔥🔥,"['Luna Pomp: 🚀NEW ICO 🚀  Have you ever lost money in crypto? This new coin keeps your money safe like no other, with its anti-dump feature.  ✅ Anti-Dump Technology ✅ Super-high APY 164,620% ✅ Fair Launch on PinkSale  👇👇👇 https://t.co/eVNpZFl36d  #ico #pinksale #presale #100xgems #bsc https://t.co/It2h2Jlise', 'KINGSMAN: @Luna_Pomp @CRYPTOPER5 Visiting webside  to learn more about this🔥🔥🔥🔥🔥']",1521901229001129984
bal_cary,2022-05-04 18:31:00+00:00,1521920344734724096,0,0,0,Twitter for Android,6030,15,,0,en,@Luna_Pomp @CRYPTOPER5 Very professional great idea hope you will succed,"['Luna Pomp: 🚀NEW ICO 🚀  Have you ever lost money in crypto? This new coin keeps your money safe like no other, with its anti-dump feature.  ✅ Anti-Dump Technology ✅ Super-high APY 164,620% ✅ Fair Launch on PinkSale  👇👇👇 https://t.co/eVNpZFl36d  #ico #pinksale #presale #100xgems #bsc https://t.co/It2h2Jlise', 'Robbert PAVEL 🐊: @Luna_Pomp @CRYPTOPER5 Very professional great idea hope you will succed']",1521901229001129984
BegokIndra,2022-05-04 17:47:05+00:00,1521909291233341440,0,0,0,Twitter for Android,1487,22,,0,en,@Luna_Pomp Done https://t.co/WbncyvdG7l,"['Luna Pomp: 🚀NEW ICO 🚀  Have you ever lost money in crypto? This new coin keeps your money safe like no other, with its anti-dump feature.  ✅ Anti-Dump Technology ✅ Super-high APY 164,620% ✅ Fair Launch on PinkSale  👇👇👇 https://t.co/eVNpZFl36d  #ico #pinksale #presale #100xgems #bsc https://t.co/It2h2Jlise', 'Follback || Indra_pasker80: @Luna_Pomp Done https://t.co/WbncyvdG7l']",1521901229001129984
