User,Date,ID,Likes,Replies,Retweets,Source of Tweet,User Tweet Count,User Follower Count,Automated User,Verified User,Language,Tweet,Conversation,rootId
forza5uk,2021-08-29 10:42:11+00:00,1431930171280531460,2,1,1,Twitter for iPhone,2633,25,,0,en,@upsideshib I was shib mad &amp; promoted it relentlessly even after being shat on in may. ShibaSwap has been a total disaster and it’s down to the Devs.If it wasn’t ready they shouldn’t have released it. It will never recover from not sticking to the white paper.Yep I Fud it.I earned the right,"['UPSIDE PAWSITIVITY: I really don’t understand those Twitter accounts that hate and spread FUD about #SHIB  If you think you have better/smarter ideas than what is being presented, feel free to go and create your own crypto ecosystem. Let’s see how well it performs.  1/2', 'wacker67: @upsideshib I was shib mad &amp; promoted it relentlessly even after being shat on in may. ShibaSwap has been a total disaster and it’s down to the Devs.If it wasn’t ready they shouldn’t have released it. It will never recover from not sticking to the white paper.Yep I Fud it.I earned the right']",1431743529924145156
k__455491,2021-08-29 03:34:29+00:00,1431822538275917826,1,0,0,Twitter for iPhone,10939,697,,0,en,@upsideshib Always #SHIB,"['UPSIDE PAWSITIVITY: I really don’t understand those Twitter accounts that hate and spread FUD about #SHIB  If you think you have better/smarter ideas than what is being presented, feel free to go and create your own crypto ecosystem. Let’s see how well it performs.  1/2', 'SHIBA INU 💎🙌: @upsideshib Always #SHIB']",1431743529924145156
ShibBender,2021-08-29 00:16:25+00:00,1431772691783200772,5,0,1,Twitter for Android,69690,20547,,0,en,@upsideshib People don't take the time to Hate unless ur doing something that's a threat #Upside.  These are good things my friend or at least how I take it.  We stay on they mind 24/7!!! Watch us work while you hate lol. $SHIB #ShibArmy,"['UPSIDE PAWSITIVITY: I really don’t understand those Twitter accounts that hate and spread FUD about #SHIB  If you think you have better/smarter ideas than what is being presented, feel free to go and create your own crypto ecosystem. Let’s see how well it performs.  1/2', ""$Shib Bender 🌬️💨🌪️📈🛸✨: @upsideshib People don't take the time to Hate unless ur doing something that's a threat #Upside.  These are good things my friend or at least how I take it.  We stay on they mind 24/7!!! Watch us work while you hate lol. $SHIB #ShibArmy""]",1431743529924145156
Alikammi,2021-08-28 22:26:59+00:00,1431745150364098561,6,1,0,Twitter for Android,6879,1411,,0,en,@upsideshib But Losers  man no one even close to #SHIB,"['UPSIDE PAWSITIVITY: I really don’t understand those Twitter accounts that hate and spread FUD about #SHIB  If you think you have better/smarter ideas than what is being presented, feel free to go and create your own crypto ecosystem. Let’s see how well it performs.  1/2', 'SHIBA BABA: @upsideshib But Losers  man no one even close to #SHIB']",1431743529924145156
JoeKerr02870133,2021-09-26 23:07:30+00:00,1442264595674980352,0,0,0,Twitter for Android,79,0,,0,en,@ShibaArchives There needs to be a surge with shib. It just keeps hovering around the same mark. There needs to be a burn or something to show a positve move,"['Shiba Archives: Retweet this post if you hold more than 1,000,000 $SHIB 🚀', 'Joe Kerr: @ShibaArchives There needs to be a surge with shib. It just keeps hovering around the same mark. There needs to be a burn or something to show a positve move']",1431731618641809414
kharper89,2021-09-01 01:58:11+00:00,1432885467997945856,3,0,1,Twitter for iPhone,11424,898,,0,en,@ShibaArchives More that 1M Shib and billions of #ELONONE #AstroZero #RocketDash @AstroZeroNFT @AstroElon  @RocketDashGame https://t.co/pB6LM5X7su,"['Shiba Archives: Retweet this post if you hold more than 1,000,000 $SHIB 🚀', 'KMHrock89: @ShibaArchives More that 1M Shib and billions of #ELONONE #AstroZero #RocketDash @AstroZeroNFT @AstroElon  @RocketDashGame https://t.co/pB6LM5X7su']",1431731618641809414
Debbie49513979,2021-08-30 02:51:29+00:00,1432174104837120006,0,0,0,Twitter for iPhone,109,3,,0,en,@ShibaArchives I hold 1.4 billion...just waiting for SHIB to soar!!,"['Shiba Archives: Retweet this post if you hold more than 1,000,000 $SHIB 🚀', 'Debbie: @ShibaArchives I hold 1.4 billion...just waiting for SHIB to soar!!']",1431731618641809414
rum1437hdroped,2021-08-29 23:07:07+00:00,1432117639858442243,0,0,0,Twitter for Android,31,2,,0,en,@ShibaArchives i hold 20.000.000 $shib,"['Shiba Archives: Retweet this post if you hold more than 1,000,000 $SHIB 🚀', 'Rum1437hdroped: @ShibaArchives i hold 20.000.000 $shib']",1431731618641809414
zavsom2,2021-08-29 19:47:01+00:00,1432067283384512519,0,0,0,Twitter Web App,64,1,,0,en,"@ShibaArchives until the Indian foundation has merged all of its gift shiba, the shiba will not grow. i have 100 000 000 shib","['Shiba Archives: Retweet this post if you hold more than 1,000,000 $SHIB 🚀', 'zavsom: @ShibaArchives until the Indian foundation has merged all of its gift shiba, the shiba will not grow. i have 100 000 000 shib']",1431731618641809414
khachungvn,2021-08-29 14:44:21+00:00,1431991113175355395,1,0,1,Twitter for iPhone,112,8,,0,en,@ShibaArchives I like Shib,"['Shiba Archives: Retweet this post if you hold more than 1,000,000 $SHIB 🚀', 'khachungvn: @ShibaArchives I like Shib']",1431731618641809414
