,User,Date,Likes,Replies,Retweets,Source of Tweet,User Tweet Count,User Follower Count,Automated User,Verified User,Language,Tweet
0,tungstencubenft,2021-11-01 23:59:00+00:00,5,0,0,Twitter Web App,540,3540,0,0,en,@blumber_ @SixtyNineSams @SBF_FTX @ftx_us @MTS_Store work in progress https://t.co/HhmHxJnM04
1,Mrdbkr,2021-11-01 23:59:00+00:00,0,0,0,Twitter for iPhone,3142,27,0,0,en,@SBF_FTX #hamstercoin when
2,luisagnese,2021-11-01 23:58:51+00:00,1,0,0,Twitter for Android,11591,491,0,0,es,"@pmbruera Hermoso! Disfrute eso!
El otro día salimos en la pantalla en la previa de Miami el FTX Arena."
3,blumber_,2021-11-01 23:57:18+00:00,7,1,0,Twitter Web App,9610,1795,0,0,en,@SixtyNineSams @SBF_FTX @ftx_us @tungstencubenft @MTS_Store wen Sam cubes with pictures of Sam on each side
4,evanbfish,2021-11-01 23:55:44+00:00,2,0,0,Twitter Web App,633,1766,0,0,en,@EthereumDenver @dOrg_tech @SBF_FTX when FTX: Kicks?
5,ZeraTWELVE,2021-11-01 23:55:30+00:00,52,3,0,Twitter Web App,308,30,0,0,en,"@Dontknow166 @1Mythos @TSM @NICKMERCS @TSM_Reps @Snip3down @ImperialHal you get the option to play with your team, why wouldnt you? at the end of the day TSM FTX Apex team is $15,000 richer."
6,HafezMominur,2021-11-01 23:55:23+00:00,0,0,0,Twitter for Android,13658,37,0,0,cs,"@xhashtagio Nice pojet 
@Hotbit_news 
@BarackObama 
@SBF_FTX"
7,CryptoConekt,2021-11-01 23:55:22+00:00,1,0,0,erased22194974_8CRqP7iv7U,217615,4416,0,0,en,"🐻💰$1,484,712 $DOGE SHORT @$0.271813 | 11/01 23:55:16
🏦FTX | DOGE PERP

👀 Money never made a man happy yet, nor will it. The more a man has, the more he wants. Instead of filling a vacuum, it makes one.- Benjamin Franklin"
8,babazor77,2021-11-01 23:55:22+00:00,0,1,0,Twitter for Android,25161,2117,0,0,en,$bfk... Not too late yet... You can buy from here to the moon 😎🤟 @BfkWarzone #BinanceSmartChain #Binance #BTC #etherium #FTX #KuCoin #Gateio https://t.co/BzZklfzwl5
9,WhaleTrades,2021-11-01 23:55:17+00:00,2,2,1,Bitmex High Trades,333721,191792,0,0,en,"📉💶$1,484,712 $DOGE SHORTED @$0.271813 [01/11/21 23:55:17]
🏪FTX | DOGE-PERP

🗣️The early bird gets the biggest worm - BuyLowSe11high"
